case_id,overall_status,blocking_issue_count,haokun_review_count,format_errors,time_errors,massflow_errors,force_definition_errors,physical_questions_for_haokun,active_jets,row_count
b52_no,FAIL,2,2,0,0,0,2,2,,30000
training,FAIL,1,0,0,1,0,1,0,J02;J03;J09;J11;J17;J19,50000
validation,FAIL,1,0,0,0,0,1,0,J02;J03;J09;J11;J17;J19,26500
