physical_time,window_id,JET_01,JET_02,JET_03,JET_04,JET_05,JET_06,JET_07,JET_08,JET_09,JET_10,JET_11,JET_12,JET_13,JET_14,JET_15,JET_16,JET_17,JET_18,JET_19,JET_20,JET_21,JET_22,JET_23,JET_24,cmd_massflow_01,cmd_massflow_02,cmd_massflow_03,cmd_massflow_04,cmd_massflow_05,cmd_massflow_06,cmd_massflow_07,cmd_massflow_08,cmd_massflow_09,cmd_massflow_10,cmd_massflow_11,cmd_massflow_12,cmd_massflow_13,cmd_massflow_14,cmd_massflow_15,cmd_massflow_16,cmd_massflow_17,cmd_massflow_18,cmd_massflow_19,cmd_massflow_20,cmd_massflow_21,cmd_massflow_22,cmd_massflow_23,cmd_massflow_24,actual_massflow_01,actual_massflow_02,actual_massflow_03,actual_massflow_04,actual_massflow_05,actual_massflow_06,actual_massflow_07,actual_massflow_08,actual_massflow_09,actual_massflow_10,actual_massflow_11,actual_massflow_12,actual_massflow_13,actual_massflow_14,actual_massflow_15,actual_massflow_16,actual_massflow_17,actual_massflow_18,actual_massflow_19,actual_massflow_20,actual_massflow_21,actual_massflow_22,actual_massflow_23,actual_massflow_24,Fz_S1L,Fz_S1R,Fz_S2L,Fz_S2R,Fz_S3L,Fz_S3R,Fz_Total,Drag_Total,Pitch_Moment,Roll_Moment,Jet_Reaction_Z,solver_status,case_stage
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31752.116372309134,32053.285696259616,50322.09340188876,50269.68224063823,-10981.660981387231,-10784.910869876496,196030.9579479849,146008.1857347237,-2609083.344385752,-2658.931092315345,3939.901494043448,success,starccm_ingest
0.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.4772882093684,598.9209804012875,-21871.007278819496,-22238.98674071931,-37146.349660787964,-37054.81141225077,-14495.80100165375,57498.72252398067,954478.3452454875,1003.4828554241761,-2334.1543239028583,success,starccm_ingest
0.30000000000000004,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32359.462020341172,-32306.740084759294,-68311.44028054268,-68365.19245975172,-54259.88963982164,-54302.46689254598,-196105.805820185,33084.219247446104,2957559.574249353,2458.684861746422,-7129.950916182256,success,starccm_ingest
0.4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34688.95140249415,-34952.48524136095,-57292.304438754494,-57152.36197002846,-33705.218215318295,-33959.52548226375,-148023.92786227836,29305.498286514987,1852623.224951744,1384.1927721268535,-5807.177728547084,success,starccm_ingest
0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23601.431405684973,-23959.841228530702,-21664.160544484464,-21613.82327123518,-5162.405671135276,-5096.912275003457,-15016.527156767015,31712.984208859918,-229077.42184438216,28.014953433932185,-2146.7742491321083,success,starccm_ingest
0.6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13663.749944091953,-13883.414438938536,1294.8298889039722,1185.721388287836,5086.712365692788,5201.654215574207,59273.34552753586,34898.049346257554,-1191883.7417104663,-37.739831389010895,-17.80404024754274,success,starccm_ingest
0.7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6920.68246773246,-6995.8211181068355,4028.6642097227086,3789.667257331286,-3667.117148965395,-3643.2515612787583,58246.24652449083,37214.1634647617,-873717.3765201645,546.5777613316054,45.372761799078205,success,starccm_ingest
0.7999999999999999,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3482.557223587867,-3452.4675254210974,-2929.179259887695,-3087.802962772645,-17697.522819636044,-17705.37738537976,27763.458625963292,38084.8733073128,-144074.25509365374,753.0125006134139,-786.2758679458707,success,starccm_ingest
0.8999999999999999,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3235.7544283842676,-3169.797810053193,-11961.703908597969,-12060.535538578268,-26449.76893933484,-26427.60813330216,-1812.7912575875182,37059.67673184359,409948.2377586414,614.5777046593118,-1636.7684807806122,success,starccm_ingest
0.9999999999999999,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4735.754871119891,-4662.54656836118,-19335.314765131203,-19351.666838719848,-26940.506300224843,-26975.83059008842,-18254.281942796795,35306.90481836835,603352.3449736651,446.2998598829092,-2118.722447257857,success,starccm_ingest
