"时间","Roll_Moment Monitor: Roll_Moment Monitor (N-m)"
1.0E-4,288.3260473282746
2.0E-4,394.2391714380821
3.0000000000000003E-4,466.3090003988166
4.0E-4,533.6345621978079
5.0E-4,582.1540890965761
6.000000000000001E-4,619.0389257584691
7.000000000000001E-4,674.0184217616373
8.000000000000001E-4,749.1418479212861
9.000000000000002E-4,847.7937826047623
0.0010000000000000002,984.4639533194456
0.0011000000000000003,1184.714627825116
0.0012000000000000003,1447.2797905216007
0.0013000000000000004,1731.521821340455
0.0014000000000000004,1976.6305921524945
0.0015000000000000005,2138.167364056769
0.0016000000000000005,2211.2379695931877
0.0017000000000000006,2225.5281566478143
0.0018000000000000006,2235.1387446737776
0.0019000000000000006,2288.2065047346177
0.0020000000000000005,2408.5641758219035
0.0021000000000000003,2586.605785396942
0.0022,2793.6424728528864
0.0023,2995.721794345073
0.0024,3161.481877603236
0.0024999999999999996,3272.140621082008
0.0025999999999999994,3325.196066288744
0.0026999999999999993,3336.2485710230294
0.002799999999999999,3324.9034895032623
0.002899999999999999,3310.9047989421365
0.0029999999999999988,3309.538980104092
0.0030999999999999986,3328.1757104665085
0.0031999999999999984,3369.4589679916926
0.0032999999999999982,3426.616389112518
0.003399999999999998,3486.865816397681
0.003499999999999998,3534.059646622674
0.0035999999999999977,3557.3258577146066
0.0036999999999999976,3552.926601687657
0.0037999999999999974,3519.2697437109364
0.0038999999999999972,3460.492598713611
0.0039999999999999975,3385.64862816663
0.004099999999999998,3302.5669481670484
0.004199999999999998,3221.310663750539
0.004299999999999998,3149.984276811021
0.0043999999999999985,3090.30285732617
0.004499999999999999,3042.620543743287
0.004599999999999999,2998.4272661481846
0.004699999999999999,2948.4786586815553
0.0048,2885.6142852569956
0.0049,2805.0913118769877
0.005,2707.1508359473196
0.0051,2601.1579145467294
0.005200000000000001,2494.813232964247
0.005300000000000001,2390.2695780052463
0.005400000000000001,2287.6623550837026
0.005500000000000001,2193.6807200111334
0.005600000000000002,2108.4311714490327
0.005700000000000002,2027.135954610642
0.005800000000000002,1955.9313840100683
0.0059000000000000025,1880.206098876439
0.006000000000000003,1796.3492194774215
0.006100000000000003,1701.5465443991197
0.006200000000000003,1598.488666276902
0.0063000000000000035,1491.5454643090316
0.006400000000000004,1378.5792601332832
0.006500000000000004,1258.7437943693687
0.006600000000000004,1136.2489887900042
0.0067000000000000046,1010.3083960168804
0.006800000000000005,883.3841280592823
0.006900000000000005,749.7442565347908
0.007000000000000005,615.3919071124329
0.007100000000000006,483.9509473857937
0.007200000000000006,354.0821693688427
0.007300000000000006,228.56101994184496
0.007400000000000006,105.56413514948903
0.007500000000000007,-14.747903884162199
0.007600000000000007,-123.84719210652504
0.007700000000000007,-220.88397174788142
0.0078000000000000074,-314.74206022010105
0.007900000000000008,-407.6374780136504
0.008000000000000007,-501.7020203729684
0.008100000000000007,-596.9976639396002
0.008200000000000006,-693.1215585489741
0.008300000000000005,-791.1768950930182
0.008400000000000005,-889.7671604747063
0.008500000000000004,-984.2561737976032
0.008600000000000003,-1074.8121258234166
0.008700000000000003,-1161.4904941635425
0.008800000000000002,-1245.8438667623336
0.008900000000000002,-1328.57977554349
0.009000000000000001,-1410.8094644884477
0.0091,-1488.7593598806795
0.0092,-1560.071412618088
0.0093,-1627.6256904211843
0.009399999999999999,-1687.1224397021558
0.009499999999999998,-1735.6817889404367
0.009599999999999997,-1772.326068470457
0.009699999999999997,-1794.9806645313035
0.009799999999999996,-1803.855226251147
0.009899999999999996,-1798.11459999762
0.009999999999999995,-1780.3443426560762
0.010099999999999994,-1750.9273534366698
0.010199999999999994,-1708.6500060857056
0.010299999999999993,-1654.1521115082248
0.010399999999999993,-1589.6669161255372
0.010499999999999992,-1515.9458897489292
0.010599999999999991,-1434.587656513752
0.01069999999999999,-1346.3421790574475
0.01079999999999999,-1255.8896164959444
0.01089999999999999,-1169.0122095011095
0.010999999999999989,-1091.8339014360156
0.011099999999999988,-1028.2230476091977
0.011199999999999988,-979.1055609289139
0.011299999999999987,-943.9197803036349
0.011399999999999987,-919.3540888412491
0.011499999999999986,-904.652761121723
0.011599999999999985,-900.7131579826324
0.011699999999999985,-906.9533387063348
0.011799999999999984,-921.0089129394863
0.011899999999999984,-941.6549338036057
0.011999999999999983,-969.3571067021923
0.012099999999999982,-1005.7770514256309
0.012199999999999982,-1049.9887604789224
0.012299999999999981,-1099.22278257344
0.01239999999999998,-1147.4263581311743
0.01249999999999998,-1189.5658291945904
0.01259999999999998,-1222.0380910021265
0.012699999999999979,-1243.4022760753335
0.012799999999999978,-1254.9059060112957
0.012899999999999977,-1259.3465456797526
0.012999999999999977,-1258.5609412864064
0.013099999999999976,-1253.87762227574
0.013199999999999976,-1244.8844717238255
0.013299999999999975,-1231.9331864352039
0.013399999999999974,-1217.6773416789442
0.013499999999999974,-1204.4901815967812
0.013599999999999973,-1192.127484664738
0.013699999999999973,-1179.1394767298139
0.013799999999999972,-1167.8087746944327
0.013899999999999971,-1161.0490334832268
0.01399999999999997,-1161.0650613518758
0.01409999999999997,-1169.658176252359
0.01419999999999997,-1187.1463717088734
0.014299999999999969,-1212.8750428338408
0.014399999999999968,-1244.3051467560267
0.014499999999999968,-1275.9878707499056
0.014599999999999967,-1306.497987519004
0.014699999999999967,-1337.4949765178922
0.014799999999999966,-1368.3506992134248
0.014899999999999965,-1395.461301037891
0.014999999999999965,-1416.098766172605
0.015099999999999964,-1427.150300623677
0.015199999999999964,-1427.3433923075318
0.015299999999999963,-1416.286419468131
0.015399999999999962,-1395.4976844148257
0.015499999999999962,-1367.5796523791726
0.015599999999999961,-1332.3403065469186
0.01569999999999996,-1287.8688105725707
0.01579999999999996,-1232.0155435962233
0.01589999999999996,-1162.9678075393697
0.01599999999999996,-1080.7670129917692
0.016099999999999958,-986.2527274595614
0.016199999999999957,-881.2938658575316
0.016299999999999957,-768.8514134558172
0.016399999999999956,-651.2902492679906
0.016499999999999956,-530.1852474984777
0.016599999999999955,-409.41459538003335
0.016699999999999954,-290.985178072392
0.016799999999999954,-173.79183278059108
0.016899999999999953,-57.27943177732717
0.016999999999999953,58.093425144908345
0.017099999999999952,172.04319408896433
0.01719999999999995,284.5596163317355
0.01729999999999995,397.1496615197346
0.01739999999999995,510.95419290492555
0.01749999999999995,627.5563432833911
0.01759999999999995,746.686951614868
0.01769999999999995,868.0958070687027
