physical_time,window_id,JET_01,JET_02,JET_03,JET_04,JET_05,JET_06,JET_07,JET_08,JET_09,JET_10,JET_11,JET_12,JET_13,JET_14,JET_15,JET_16,JET_17,JET_18,JET_19,JET_20,JET_21,JET_22,JET_23,JET_24,cmd_massflow_01,cmd_massflow_02,cmd_massflow_03,cmd_massflow_04,cmd_massflow_05,cmd_massflow_06,cmd_massflow_07,cmd_massflow_08,cmd_massflow_09,cmd_massflow_10,cmd_massflow_11,cmd_massflow_12,cmd_massflow_13,cmd_massflow_14,cmd_massflow_15,cmd_massflow_16,cmd_massflow_17,cmd_massflow_18,cmd_massflow_19,cmd_massflow_20,cmd_massflow_21,cmd_massflow_22,cmd_massflow_23,cmd_massflow_24,Fz_S1L,Fz_S1R,Fz_S2L,Fz_S2R,Fz_S3L,Fz_S3R,Fz_Total,Drag_Total,Pitch_Moment,Roll_Moment,Jet_Reaction_Z,solver_status,case_stage
0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.67514260533318,-23.935939175232924,69.63471374013305,69.70340719220076,30.677910935315285,31.02018834443229,-23539.155852752738,387621.49426220934,-6362702.322353729,67.63176022788352,-105.31277014367323,success,starccm_output_ingest
0.0002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4531403006377237,-2.2601782400104473,175.64563048073805,174.30125747439044,63.49966804135501,62.36216195876013,-36125.68863467701,431459.9678193157,-7112054.499792303,27.02038049707838,-221.10261147406447,success,starccm_output_ingest
0.00030000000000000003,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.199930863122111,0.9683973715806663,251.02973345776638,243.73869405864477,110.37584963582773,108.23649039397438,-41762.956349446766,413687.98040617915,-6857714.137540392,-10.287331445641719,-270.5895778691549,success,starccm_output_ingest
0.0004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.390645962791783,-22.689027712826544,268.0297853200794,256.660698914444,177.137748556042,172.85844714629866,-43814.99166238219,395668.10725340823,-6637462.615482273,-11.19625787921158,-206.14200997933094,success,starccm_output_ingest
0.0005,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.470877780664555,-38.54660184121056,239.36801185075942,229.88092150489803,230.72741150599592,227.62454888364627,-45080.10881715531,385211.3127119067,-6564137.477879316,6.5162429609468875,-45.772548206821135,success,starccm_output_ingest
0.0006000000000000001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2124354506981687,-7.893733471945865,185.31996313312882,179.73929906638006,224.89467474940156,227.17421504531453,-46048.389020759,377458.1907880189,-6525021.4315296635,26.316222157566745,146.59010817314447,success,starccm_output_ingest
0.0007000000000000001,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.27527644301992,77.10455245291664,121.15399071695988,121.61905035220849,147.8599425058567,154.61874747949284,-47192.98147906908,368704.1989387406,-6435103.936197431,45.55785124697103,309.5611372447513,success,starccm_output_ingest
0.0008000000000000001,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.7116140007689,211.58411963352177,61.390354842263626,66.4259854830064,2.0124526975864145,12.093986080124383,-49184.899476680024,360669.3956487827,-6330595.2177226525,40.187866131039755,400.50558328534817,success,starccm_output_ingest
0.0009000000000000002,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.28954535819327,392.14098324534467,32.38347577607221,40.812333106939256,-186.2396867014249,-172.6824070537776,-51954.027041394234,355617.51835912163,-6271284.748256058,5.503367512433076,413.02846948083874,success,starccm_output_ingest
0.0010000000000000002,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643.1403058215138,626.250834557154,56.411972934863186,65.8787057790409,-389.02218381397427,-376.14080864518104,-54658.79414657966,352568.70732843864,-6246027.0184053,-41.83732929026555,368.59776815517216,success,starccm_output_ingest
