"时间","Fz Monitor: Fz Monitor (N)"
1.0E-4,-23301.529346695024
2.0E-4,-35731.363608573956
3.0000000000000003E-4,-41252.529295827786
4.0E-4,-43234.30578042882
5.0E-4,-44472.34960748589
6.000000000000001E-4,-45431.907861719905
7.000000000000001E-4,-46551.53440517435
8.000000000000001E-4,-48472.13922144103
9.000000000000002E-4,-51112.98901817782
0.0010000000000000002,-53632.96489877577
0.0011000000000000003,-54999.87902060435
0.0012000000000000003,-54538.08850924313
0.0013000000000000004,-52231.17209157707
0.0014000000000000004,-48595.325009956345
0.0015000000000000005,-44447.15374056844
0.0016000000000000005,-40709.257938449955
0.0017000000000000006,-38184.64974561842
0.0018000000000000006,-37240.528722094976
0.0019000000000000006,-37647.63620156018
0.0020000000000000005,-38726.14676400102
0.0021000000000000003,-39679.99469475358
0.0022,-39889.66961227154
0.0023,-39107.89717241828
0.0024,-37443.95942482787
0.0024999999999999996,-35213.42445579793
0.0025999999999999994,-32761.85132030984
0.0026999999999999993,-30371.527745330928
0.002799999999999999,-28235.871944222283
0.002899999999999999,-26488.036038036607
0.0029999999999999988,-25194.187477011314
0.0030999999999999986,-24352.552084341638
0.0031999999999999984,-23904.79425502224
0.0032999999999999982,-23748.275489552616
0.003399999999999998,-23744.65921491855
0.003499999999999998,-23738.335369754892
0.0035999999999999977,-23588.66005277874
0.0036999999999999976,-23221.786933185133
0.0037999999999999974,-22648.606245725096
0.0038999999999999972,-21966.423927937365
0.0039999999999999975,-21328.365594115137
0.004099999999999998,-20888.512056831485
0.004199999999999998,-20753.158921872953
0.004299999999999998,-20938.610887000195
0.0043999999999999985,-21353.491692448348
0.004499999999999999,-21839.60473745221
0.004599999999999999,-22212.72764423932
0.004699999999999999,-22305.889385193404
0.0048,-22003.15683897827
0.0049,-21256.67526192696
0.005,-20118.17214804371
0.0051,-18686.769718475804
0.005200000000000001,-17196.896281376114
0.005300000000000001,-15752.234359909986
0.005400000000000001,-14450.590553020204
0.005500000000000001,-13391.079437321496
0.005600000000000002,-12547.19651811716
0.005700000000000002,-11916.854195313157
0.005800000000000002,-11413.724704829614
0.0059000000000000025,-10965.088840319191
0.006000000000000003,-10519.690977730217
0.006100000000000003,-10030.794265170893
0.006200000000000003,-9475.185412949615
0.0063000000000000035,-8846.702868543885
0.006400000000000004,-8169.779883554806
0.006500000000000004,-7406.08400137804
0.006600000000000004,-6548.347323742052
0.0067000000000000046,-5563.397438272642
0.006800000000000005,-4391.167348663041
0.006900000000000005,-2967.800083449279
0.007000000000000005,-1232.606007949233
0.007100000000000006,852.8282898785881
0.007200000000000006,3288.106699304087
0.007300000000000006,6034.257102473715
0.007400000000000006,9017.708158141213
0.007500000000000007,12149.015281023696
0.007600000000000007,15339.884946134189
0.007700000000000007,18510.80310638351
0.0078000000000000074,21600.19802474448
0.007900000000000008,24572.692180845857
0.008000000000000007,27419.495288806047
0.008100000000000007,30150.141076679807
0.008200000000000006,32787.4384708997
0.008300000000000005,35354.23992880099
0.008400000000000005,37862.56381402889
0.008500000000000004,40311.55129143241
0.008600000000000003,42691.68601824577
0.008700000000000003,44991.596905243656
0.008800000000000002,47211.74856501941
0.008900000000000002,49365.14327127427
0.009000000000000001,51480.83110001005
0.0091,53597.203380514606
0.0092,55752.04094946459
0.0093,57974.43953968575
0.009399999999999999,60275.45052626168
0.009499999999999998,62646.94646937648
0.009599999999999997,65069.266124800284
0.009699999999999997,67507.78631520394
0.009799999999999996,69912.01655073815
0.009899999999999996,72230.90034154858
0.009999999999999995,74427.22335171302
0.010099999999999994,76484.61023213837
0.010199999999999994,78412.4205709554
0.010299999999999993,80237.68238847023
0.010399999999999993,81997.51849110286
0.010499999999999992,83727.12694102431
0.010599999999999991,85444.50326223098
0.01069999999999999,87140.13703899935
0.01079999999999999,88784.37120051534
0.01089999999999999,90330.14021465731
0.010999999999999989,91714.62831934409
0.011099999999999988,92877.36576012627
0.011199999999999988,93765.9571017174
0.011299999999999987,94345.10687215184
0.011399999999999987,94605.55381357597
0.011499999999999986,94566.74445524866
0.011599999999999985,94274.74801433452
0.011699999999999985,93796.95878139524
0.011799999999999984,93205.57109497701
0.011899999999999984,92567.04657210528
0.011999999999999983,91939.64983649025
0.012099999999999982,91362.57184588302
0.012199999999999982,90858.29959899004
0.012299999999999981,90431.56798275535
0.01239999999999998,90070.81355006556
0.01249999999999998,89757.84792183789
0.01259999999999998,89474.42450235083
0.012699999999999979,89205.10316497386
0.012799999999999978,88940.12645355123
0.012899999999999977,88677.98686117449
0.012999999999999977,88423.68684607638
0.013099999999999976,88180.24824852524
0.013199999999999976,87946.04903330602
0.013299999999999975,87716.84540812898
0.013399999999999974,87486.93026029889
0.013499999999999974,87252.0825421127
0.013599999999999973,87007.67687044326
0.013699999999999973,86749.2368782388
0.013799999999999972,86476.47330389549
0.013899999999999971,86196.53646864141
0.01399999999999997,85926.78297219706
0.01409999999999997,85689.43305890514
0.01419999999999997,85510.85368371817
0.014299999999999969,85421.99772379127
0.014399999999999968,85451.8319616404
0.014499999999999968,85622.7414422838
0.014599999999999967,85954.74892173526
0.014699999999999967,86463.57520559656
0.014799999999999966,87154.93536825881
0.014899999999999965,88033.72673175715
0.014999999999999965,89103.57545988382
0.015099999999999964,90361.99108712235
0.015199999999999964,91796.67617295319
0.015299999999999963,93390.99027226586
0.015399999999999962,95121.57321414893
0.015499999999999962,96955.5915106676
0.015599999999999961,98858.41385542841
0.01569999999999996,100788.63240564587
0.01579999999999996,102698.9152184244
0.01589999999999996,104534.50501399077
0.01599999999999996,106248.31139595379
0.016099999999999958,107798.08007294148
0.016199999999999957,109151.22295088039
0.016299999999999957,110288.30691860217
0.016399999999999956,111203.73286058665
0.016499999999999956,111903.20211165497
0.016599999999999955,112404.69425045552
0.016699999999999954,112737.98601228454
0.016799999999999954,112940.439521493
0.016899999999999953,113056.05533959126
0.016999999999999953,113127.27126650415
0.017099999999999952,113192.68949471871
0.01719999999999995,113285.07163188265
0.01729999999999995,113433.10128849378
0.01739999999999995,113657.99153838302
0.01749999999999995,113973.12366876064
0.01759999999999995,114388.54313444013
0.01769999999999995,114907.72655086675
0.017799999999999948,115529.07663859996
0.017899999999999947,116240.95480741162
0.017999999999999947,117018.34564355921
0.018099999999999946,117828.5587652945
0.018199999999999945,118630.09428111943
0.018299999999999945,119385.91749063572
0.018399999999999944,120063.98475107328
0.018499999999999944,120632.63851345205
0.018599999999999943,121061.58339450808
0.018699999999999942,121319.59157485937
0.018799999999999942,121381.97292257451
0.01889999999999994,121231.81623697572
0.01899999999999994,120858.42983775905
0.01909999999999994,120259.21791554429
0.01919999999999994,119445.59278789644
0.01929999999999994,118439.98485892575
0.019399999999999938,117277.63762709682
0.019499999999999938,115988.18702721187
0.019599999999999937,114622.81446157894
0.019699999999999936,113232.7479237896
0.019799999999999936,111870.00923823102
0.019899999999999935,110555.81917305176
0.019999999999999934,109338.22361253142
