"时间","S1 Monitor: S1 Monitor (Pa)","S2 Monitor: S2 Monitor (Pa)","S3 Monitor: S3 Monitor (Pa)","入口 Monitor: 入口 Monitor (Pa)","出口 Monitor: 出口 Monitor (Pa)","右中 Monitor: 右中 Monitor (Pa)","右前 Monitor: 右前 Monitor (Pa)","右后 Monitor: 右后 Monitor (Pa)","左中 Monitor: 左中 Monitor (Pa)","左前 Monitor: 左前 Monitor (Pa)","左后 Monitor: 左后 Monitor (Pa)"
1.0E-4,-0.21853323744106906,-0.1469266798663725,-0.015124641220184,0.6416432232660056,-0.25617712989335345,-0.6066005010523751,1.9101990996880882,-394.92888992194304,-1.1701377966338775,3.402580730845031,-378.41624880748566
2.0E-4,-0.3586821414573446,-0.291904324048946,-0.028460832040209848,0.6584700304502912,-0.45864253483825485,-1.0862941401933996,2.3951388934522946,-1311.2238702430457,-2.0212271991153594,12.25312206348674,-1286.0379444363111
3.0000000000000003E-4,-0.367213127974072,-0.31955521077201543,-0.030801122411500056,0.5032708108579061,-0.6100226196333592,-1.163201354526514,3.7102326445377076,-3205.2375427124025,-2.1801199982750634,31.785526304115553,-3177.2341347087113
4.0E-4,-0.3239183567844116,-0.3052678388655469,-0.0248213922568677,0.3795592499070116,-0.7196440327184751,-1.0609320186256432,5.743179279301352,-5830.498507724522,-1.9976537142401531,57.906982313297746,-5839.891623734246
5.0E-4,-0.29160108185513234,-0.28975224035245334,-0.0175479838947298,0.33843418598927055,-0.8057436636555948,-0.9257993274995638,1.6489216181588775,-8140.222733657727,-1.7455637171688896,84.3537566360622,-8229.71926778384
6.000000000000001E-4,-0.2816461703069141,-0.28335302058704165,-0.009829918824840451,0.3330803227725595,-0.8616034480139905,-0.8067312536575851,-11.618677822615167,-8810.408697405408,-1.5227887363471566,114.62694678396747,-9036.942238637565
7.000000000000001E-4,-0.2901895606856846,-0.2732567381087131,-6.138024913162155E-4,0.33007754887478274,-0.8900722950331262,-0.708926819419397,-35.44133507471885,-7334.501367176138,-1.351593568218707,169.8902996418213,-7621.314959350054
8.000000000000001E-4,-0.29517160952651833,-0.2623080216571226,0.009363232430395454,0.30664542583834886,-0.9005194585838668,-0.6598702795458599,-66.77056154824841,-4471.740053092941,-1.2264135339352016,268.47135825024503,-4742.311973843444
9.000000000000002E-4,-0.3020588776403764,-0.2724411852193215,0.015931617852838042,0.3503882617392044,-0.8894776000711079,-0.7315310270347294,-97.98959857836525,-1549.3170811393297,-1.2032655679432813,414.76232868198565,-1776.1635301717738
0.0010000000000000002,-0.28981309443721626,-0.281720425925475,0.01924843191416454,0.3850213172866525,-0.8779729848602372,-0.8743615145288032,-116.9422637914325,-26.077359103947323,-1.2638065877454998,606.3839047531754,-41.263155482880144
0.0011000000000000003,-0.25520998014727614,-0.2606438249094468,0.020170653472947716,0.3716969650603488,-0.8728675528985425,-1.124145818814305,-107.35225320588964,-200.79460766392032,-1.4363382479877493,849.4337294077772,12.90742870759737
0.0012000000000000003,-0.2279352456736259,-0.25228717120873917,0.017999132335549634,0.3860593080636883,-0.8778681768137488,-1.8760638202669206,-26.251266782261123,-1288.3681580058708,-2.039652159776624,1172.1672882934163,-924.4672764549979
0.0013000000000000004,-0.2047895903582407,-0.25747119252594236,0.015859131058521412,0.42479515019782865,-0.8988589791228851,-3.9473730146582957,184.88903831239224,-2417.3364360475653,-4.021397813139787,1627.1795369379904,-1990.9132177935464
0.0014000000000000004,-0.18520360339396227,-0.25808714337264343,0.015965644745266704,0.47044194583076365,-0.9334028966397709,-9.987779420676098,591.0161954648087,-2858.536438873625,-9.9323128183765,2272.2548488243697,-2530.721908272671
0.0015000000000000005,-0.1800488516378107,-0.24307670744516874,0.019327123605122485,0.5026392763047111,-0.9751071682754439,-25.589298321595333,1244.1294318901791,-2382.227243126177,-25.33184469935212,3152.4881877721,-2267.912131628484
0.0016000000000000005,-0.21815990284306827,-0.2166200729705243,0.02482476477912781,0.5162040788205762,-1.015072301093422,-61.55006043319346,2175.502026936377,-1249.8878791023776,-61.2000008973749,4278.1785164733965,-1352.1129580065333
0.0017000000000000006,-0.330781701076231,-0.18757290019735612,0.029225977503712322,0.5228558916242916,-1.0445570382124714,-134.95569689894944,3380.8855278344017,59.14773277511382,-135.0536197662612,5627.996302534873,-197.39100430766243
0.0018000000000000006,-0.57218011780483,-0.18404444781963195,0.02903286316839161,0.5430132633254116,-1.0586065690124662,-267.27301228423994,4806.362111583599,1068.0001819744382,-268.45422871356374,7145.675043482812,744.2202795138427
0.0019000000000000006,-0.9547976121351752,-0.18822559539568154,0.02321549760037813,0.5986773972155494,-1.058015151355208,-480.2824861368401,6349.122745307994,1468.932244451611,-482.2224060915331,8749.059529053255,1171.1810688054568
0.0020000000000000005,-1.3929169828135417,-0.19932727365331773,0.012141276365401788,0.6886820940901054,-1.0402851240021385,-788.2364954077862,7913.7459965908165,1216.0961169485072,-791.173901481882,10315.99413213514,1008.3374888595378
0.0021000000000000003,-1.6683460848029372,-0.21879966248999358,-0.0021455618624155338,0.7879851074037287,-1.0157108683231109,-1188.400074308868,9392.053853246221,460.5608479496427,-1192.565554220324,11739.378123789364,380.822766322557
0.0022,-1.215078669496959,-0.2622520185095033,-0.015521730195096803,0.9041852641192676,-0.986896418676901,-1656.894420248998,10686.320289710902,-565.2323926147429,-1660.5547645352115,12946.167504408837,-510.8392714317728
0.0023,1.323218101312246,-0.3269288992972952,-0.029916979680512695,1.0934239892024977,-0.960862735593231,-2141.532344990154,11710.517037289159,-1592.522514723019,-2142.4859407372073,13872.189381293187,-1442.4718813595132
0.0024,8.170088011161514,-0.40372372361869613,-0.045689068324186344,1.4626400555244647,-0.9435902054389264,-2567.9847065269987,12445.036018179087,-2409.9980944698273,-2567.2599765819077,14494.949785136114,-2219.6775805517536
0.0024999999999999996,22.26383367911329,-0.4933296544123954,-0.06059885835561977,2.3717116951801245,-0.9456524863262671,-2870.1677133558555,12909.319200297014,-2919.1905949324005,-2874.649523545161,14833.32257499457,-2742.252341109697
0.0025999999999999994,45.5341723374889,-0.6642465598170001,-0.07953526210028071,5.12626843047643,-0.9732775865701245,-3016.305289110381,13139.452514365132,-3129.8995765084474,-3026.060264449083,14939.685697974926,-2999.646462533236
0.0026999999999999993,77.38949524008022,-1.346291149878046,-0.11241161999585426,12.383161572899779,-1.0414869757605778,-3003.5481107754044,13169.642475283687,-3109.606076225442,-3014.444820647951,14865.489335940732,-3054.3530719389296
0.002799999999999999,113.46234682652846,-3.1921944097192263,-0.17096905839954665,29.063818919723833,-1.2065895700315672,-2861.1911999815525,13046.131887079755,-2974.700117652149,-2869.0672430829645,14663.941494968492,-2999.8140223172973
0.002899999999999999,141.8350423858766,-8.21760570437908,-0.26153796331236817,64.09311845604005,-1.607724289726468,-2635.539205680938,12828.658866000664,-2842.1598716776334,-2638.6991704667157,14387.797384678379,-2934.8132385690606
0.0029999999999999988,147.63493359795063,-20.44068423551234,-0.39483074977463606,132.4793696606879,-2.4982120543038113,-2383.7838641159638,12575.101751245818,-2797.0181141338903,-2384.0133740146634,14097.862648043341,-2927.9358740937546
0.0030999999999999986,106.59358699176308,-46.38325186679278,-0.5863330037968055,256.6177933640484,-4.5047824947385235,-2148.8283784032947,12339.545611121512,-2867.4106712383186,-2146.0774018394977,13854.632900050034,-3003.8137951885283
0.0031999999999999984,-9.852436574084543,-96.10595153579058,-0.8853982417510453,466.7165768335372,-8.75127947170198,-1940.121388030835,12172.208437626727,-3032.3460455015284,-1934.0604737012582,13694.066325458165,-3149.6038930053437
0.0032999999999999982,-230.83747330603276,-183.14165506424635,-1.4093015642553268,799.6991247112423,-17.443196116074507,-1747.2595279308937,12092.396292563379,-3249.178506849015,-1739.2218901888755,13629.55604851154,-3334.3893562884746
0.003399999999999998,-581.9617895576533,-324.15049043449466,-2.4455642834313083,1295.1907531812176,-34.50710428347787,-1555.969059989497,12073.410975810928,-3473.975733854518,-1545.2078572030625,13636.74211216264,-3523.273112477742
0.003499999999999998,-1075.9699890245563,-537.0736465568045,-4.620509213396759,1988.918660193954,-66.13193312738744,-1353.9482848532116,12078.419440468699,-3678.586541731786,-1342.2008312376092,13672.201047902287,-3695.4581460138625
0.0035999999999999977,-1704.4775928619047,-836.7319884496203,-9.227235396090583,2905.718269352675,-121.46059839042647,-1139.9646125315157,12070.463727892937,-3852.5678084533315,-1130.2993100818853,13686.632149088178,-3842.759908580294
0.0036999999999999976,-2430.9767360467326,-1230.5601989640215,-18.63774380528066,4046.5129189253075,-212.72710919067862,-925.2560336378956,12019.545578142233,-3995.83156006687,-919.739459544777,13636.700826331844,-3970.9144824328805
0.0037999999999999974,-3194.6351780064233,-1714.5598487204904,-36.79628942995199,5385.84794740687,-354.7402420326808,-724.7399231173391,11908.523798681734,-4107.034477393264,-722.0008260858789,13497.830136105837,-4080.519935996501
0.0038999999999999972,-3922.8482504860626,-2267.557195029737,-69.76863416261153,6868.222561933354,-564.1016205327329,-546.7755506606795,11735.343120898578,-4171.241089499587,-543.5965545620769,13269.961981800307,-4153.190277547348
0.0039999999999999975,-4542.94588145382,-2851.661054180102,-126.13409913845106,8415.132653009809,-855.3747527689336,-385.4481887533133,11511.784015997537,-4155.869669017832,-379.6964882645066,12974.745616597178,-4155.9588648098725
0.004099999999999998,-5002.668970683665,-3412.720452740802,-216.90777559108247,9941.111749637374,-1238.5894562530625,-222.1893041866823,11258.413457711162,-4021.843308046898,-213.88294793916177,12645.921635747793,-4045.221422689185
0.004199999999999998,-5264.660284250656,-3887.5165628766613,-354.6247959963773,11374.956264490727,-1715.4452114056542,-34.42614246950774,11003.908697212437,-3730.202791430815,-24.84079675054342,12319.564992374668,-3774.5578665093485
0.004299999999999998,-5317.463030556526,-4220.802331711509,-551.9077351930973,12678.727381132154,-2275.485967898094,192.26775030318547,10770.663173074088,-3252.9255404124488,201.0632211724057,12025.835193961291,-3311.078984963832
0.0043999999999999985,-5161.9979453607475,-4367.32763830316,-818.9065106475427,13848.682507675274,-2893.632421086348,456.60072927747126,10572.175367595886,-2567.676858586823,463.63644961532094,11783.13778523824,-2635.566865195615
