"时间","Fz Monitor: Fz Monitor (N)"
1.0E-4,-23539.155852752738
2.0E-4,-36125.68863467701
3.0000000000000003E-4,-41762.956349446766
4.0E-4,-43814.99166238219
5.0E-4,-45080.10881715531
6.000000000000001E-4,-46048.389020759
7.000000000000001E-4,-47192.98147906908
8.000000000000001E-4,-49184.899476680024
9.000000000000002E-4,-51954.027041394234
0.0010000000000000002,-54658.79414657966
0.0011000000000000003,-56263.66465061447
0.0012000000000000003,-56075.105337089386
0.0013000000000000004,-54041.58920427423
0.0014000000000000004,-50636.45713841459
0.0015000000000000005,-46642.45596074084
0.0016000000000000005,-42977.30190877661
0.0017000000000000006,-40470.867827045106
0.0018000000000000006,-39533.34232804071
0.0019000000000000006,-39974.38565194927
0.0020000000000000005,-41136.62494518572
0.0021000000000000003,-42227.89099315641
0.0022,-42617.208476611224
0.0023,-42034.88539878291
0.0024,-40566.98087125816
0.0024999999999999996,-38509.49622177855
0.0025999999999999994,-36194.80852279736
0.0026999999999999993,-33902.53407132281
0.002799999999999999,-31832.259736081774
0.002899999999999999,-30129.461245195307
0.0029999999999999988,-28876.629566812848
0.0030999999999999986,-28087.82241403405
0.0031999999999999984,-27715.437006545122
0.0032999999999999982,-27658.516284335656
0.003399999999999998,-27772.57024210115
0.003499999999999998,-27891.381828840294
0.0035999999999999977,-27861.355058140583
0.0036999999999999976,-27597.616582368675
0.0037999999999999974,-27104.146733100846
0.0038999999999999972,-26475.793091424777
0.0039999999999999975,-25869.38206191076
0.004099999999999998,-25447.045850231272
0.004199999999999998,-25324.756706205677
0.004299999999999998,-25528.282524099825
0.0043999999999999985,-25973.604163367123
0.004499999999999999,-26506.34587747686
0.004599999999999999,-26941.448564601775
0.004699999999999999,-27107.257482470046
0.0048,-26880.64451645836
0.0049,-26204.635165146137
0.005,-25125.76254380714
0.0051,-23741.44916118573
0.005200000000000001,-22287.718462912944
0.005300000000000001,-20873.18772436696
0.005400000000000001,-19601.8968573686
0.005500000000000001,-18579.78183463315
0.005600000000000002,-17783.398245536362
0.005700000000000002,-17213.620802295332
0.005800000000000002,-16784.617572244802
0.0059000000000000025,-16419.207361209545
0.006000000000000003,-16061.350348926617
0.006100000000000003,-15660.66256891376
0.006200000000000003,-15188.475431018303
0.0063000000000000035,-14636.267202759913
0.006400000000000004,-14025.41021442958
0.006500000000000004,-13322.691036805782
0.006600000000000004,-12525.778133589558
0.0067000000000000046,-11605.250176365358
0.006800000000000005,-10504.677859446798
0.006900000000000005,-9160.208119868646
0.007000000000000005,-7513.266692530483
0.007100000000000006,-5522.266253201584
0.007200000000000006,-3184.661490666397
0.007300000000000006,-535.8046088911277
0.007400000000000006,2351.7522558834007
0.007500000000000007,5391.354543470765
0.007600000000000007,8494.430550610028
0.007700000000000007,11578.248019381313
0.0078000000000000074,14581.97863358482
0.007900000000000008,17465.99264981818
0.008000000000000007,20219.526713342562
0.008100000000000007,22853.04870458281
0.008200000000000006,25389.618198926935
0.008300000000000005,27854.55233103332
0.008400000000000005,30263.514846272086
0.008500000000000004,32617.48650684588
0.008600000000000003,34907.34012621244
0.008700000000000003,37122.72032489239
0.008800000000000002,39263.149176733474
0.008900000000000002,41341.526080321346
0.009000000000000001,43386.73954379346
0.0091,45436.03195771342
0.0092,47525.91699982162
0.0093,49688.45548689721
0.009399999999999999,51937.37539093121
0.009499999999999998,54266.28781468704
0.009599999999999997,56656.100419723414
0.009699999999999997,59071.884045178864
0.009799999999999996,61462.24193762151
0.009899999999999996,63775.08413053163
0.009999999999999995,65972.3220640858
0.010099999999999994,68038.22108613842
0.010199999999999994,69981.41053768898
0.010299999999999993,71828.87351049579
0.010399999999999993,73617.01318498784
0.010499999999999992,75378.51390091292
0.010599999999999991,77131.67026443267
0.01069999999999999,78868.42802525395
0.01079999999999999,80557.79203979678
0.01089999999999999,82151.9706015613
0.010999999999999989,83589.03645609335
0.011099999999999988,84806.745400173
0.011199999999999988,85752.90577880201
0.011299999999999987,86388.37033566249
0.011399999999999987,86702.89394457964
0.011499999999999986,86715.43341954688
0.011599999999999985,86471.53909936931
0.011699999999999985,86037.50849996
0.011799999999999984,85483.472692574
0.011899999999999984,84876.44428725415
0.011999999999999983,84274.9500003906
0.012099999999999982,83719.49015555272
0.012199999999999982,83235.03587631881
0.012299999999999981,82827.43821413105
0.01239999999999998,82484.96799351617
0.01249999999999998,82189.8692073032
0.01259999999999998,81922.93483759149
0.012699999999999979,81668.43065454195
0.012799999999999978,81416.66570315002
0.012899999999999977,81167.08174626745
0.012999999999999977,80926.17985217739
0.013099999999999976,80697.9402957769
0.013199999999999976,80480.38563499857
0.013299999999999975,80268.69026350428
0.013399999999999974,80057.24984568906
0.013499999999999974,79841.54171554967
0.013599999999999973,79616.24908029371
0.013699999999999973,79376.23961256971
0.013799999999999972,79121.55180983644
0.013899999999999971,78858.91433891364
0.01399999999999997,78603.74716973484
0.01409999999999997,78378.4953085861
0.01419999999999997,78207.48376877198
0.014299999999999969,78121.0914281217
0.014399999999999968,78148.5185967237
0.014499999999999968,78312.69895518878
0.014599999999999967,78633.63769291884
0.014699999999999967,79126.96241621781
0.014799999999999966,79799.91092497317
0.014899999999999965,80658.38065250764
0.014999999999999965,81706.62057721827
0.015099999999999964,82941.44847163466
0.015199999999999964,84352.16032260336
0.015299999999999963,85923.53477194294
0.015399999999999962,87633.33726014906
0.015499999999999962,89450.23748225288
0.015599999999999961,91340.85883055055
0.01569999999999996,93264.98711343072
0.01579999999999996,95176.15918516471
0.01589999999999996,97021.01125949062
0.01599999999999996,98753.06501009736
0.016099999999999958,100329.71293421078
0.016199999999999957,101716.6766817011
0.016299999999999957,102892.71949986926
0.016399999999999956,103852.93728790796
0.016499999999999956,104601.22409868943
0.016599999999999955,105154.39410734826
0.016699999999999954,105542.74940330193
0.016799999999999954,105803.30618537229
0.016899999999999953,105980.08241353535
0.016999999999999953,106113.26268236736
0.017099999999999952,106238.35193584429
0.01719999999999995,106386.11893069377
0.01729999999999995,106584.36281243185
0.01739999999999995,106853.89056508456
0.01749999999999995,107208.51998291667
0.01759999999999995,107659.94032487436
0.01769999999999995,108213.8957175668
0.017799999999999948,108867.8560015972
0.017899999999999947,109611.27611744808
0.017999999999999947,110420.73178571113
0.018099999999999946,111264.02799400507
0.018199999999999945,112101.0542211274
0.018299999999999945,112896.09335563745
0.018399999999999944,113619.40609814502
0.018499999999999944,114241.96434055953
0.018599999999999943,114734.63353529226
0.018699999999999942,115067.10862946673
0.018799999999999942,115214.70185483707
0.01889999999999994,115159.18350857259
0.01899999999999994,114888.37040100995
