"时间","S1L Monitor: S1L Monitor (N)","S1R Monitor: S1R Monitor (N)","S2L Monitor: S2L Monitor (N)","S2R Monitor: S2R Monitor (N)","S3L Monitor: S3L Monitor (N)","S3R Monitor: S3R Monitor (N)"
1.0E-4,-24.67514260533318,-23.935939175232924,69.63471374013305,69.70340719220076,30.677910935315285,31.02018834443229
2.0E-4,-1.4531403006377237,-2.2601782400104473,175.64563048073805,174.30125747439044,63.49966804135501,62.36216195876013
3.0000000000000003E-4,7.199930863122111,0.9683973715806663,251.02973345776638,243.73869405864477,110.37584963582773,108.23649039397438
4.0E-4,-13.390645962791783,-22.689027712826544,268.0297853200794,256.660698914444,177.137748556042,172.85844714629866
5.0E-4,-28.470877780664555,-38.54660184121056,239.36801185075942,229.88092150489803,230.72741150599592,227.62454888364627
6.000000000000001E-4,3.2124354506981687,-7.893733471945865,185.31996313312882,179.73929906638006,224.89467474940156,227.17421504531453
7.000000000000001E-4,92.27527644301992,77.10455245291664,121.15399071695988,121.61905035220849,147.8599425058567,154.61874747949284
8.000000000000001E-4,229.7116140007689,211.58411963352177,61.390354842263626,66.4259854830064,2.0124526975864145,12.093986080124383
9.000000000000002E-4,412.28954535819327,392.14098324534467,32.38347577607221,40.812333106939256,-186.2396867014249,-172.6824070537776
0.0010000000000000002,643.1403058215138,626.250834557154,56.411972934863186,65.8787057790409,-389.02218381397427,-376.14080864518104
0.0011000000000000003,923.3005534375096,914.9287563189139,137.79699197368197,145.3739128178343,-587.2207074885076,-577.7913271344553
0.0012000000000000003,1244.593853228322,1242.4140873261294,263.77703140654785,267.77147633550413,-765.5384055926185,-762.1743326391148
0.0013000000000000004,1589.3071640331316,1589.224493499539,406.2041850759523,407.1247960088528,-916.0837643794699,-920.2334573386421
0.0014000000000000004,1935.242668864222,1934.4039933529084,534.4480668875364,534.726193203437,-1039.6377074501963,-1048.4820314749306
0.0015000000000000005,2263.8433960490675,2261.2128861928622,627.4461826174911,628.4459422906857,-1139.5243639630633,-1149.4076115993357
0.0016000000000000005,2565.6663686986726,2559.5647463234227,673.2332558782122,676.0415126468919,-1225.4494373748814,-1232.0279353750727
