"时间","Drag Monitor: Drag Monitor (N)"
1.0E-4,387621.49426220934
2.0E-4,431459.9678193157
3.0000000000000003E-4,413687.98040617915
4.0E-4,395668.10725340823
5.0E-4,385211.3127119067
6.000000000000001E-4,377458.1907880189
7.000000000000001E-4,368704.1989387406
8.000000000000001E-4,360669.3956487827
9.000000000000002E-4,355617.51835912163
0.0010000000000000002,352568.70732843864
0.0011000000000000003,348446.1027631039
0.0012000000000000003,341377.3921930935
0.0013000000000000004,332217.68835102813
0.0014000000000000004,323166.57616470853
0.0015000000000000005,315869.7587104847
0.0016000000000000005,310742.82848392625
0.0017000000000000006,307290.77073287696
0.0018000000000000006,304651.02383112325
0.0019000000000000006,301989.35005218117
0.0020000000000000005,298745.3385987374
0.0021000000000000003,294742.60251767776
0.0022,290169.5568249094
0.0023,285417.75656080653
0.0024,280864.58646806906
0.0024999999999999996,276729.5106302948
0.0025999999999999994,273048.4128652679
0.0026999999999999993,269733.7469700711
0.002799999999999999,266655.69707181776
0.002899999999999999,263711.99817465484
0.0029999999999999988,260856.08296493656
0.0030999999999999986,258096.30827328018
0.0031999999999999984,255472.43555582862
0.0032999999999999982,253029.87911469914
0.003399999999999998,250789.56953179088
0.003499999999999998,248741.38320638542
0.0035999999999999977,246845.53878017253
0.0036999999999999976,245034.04082453347
0.0037999999999999974,243236.51384207097
0.0038999999999999972,241400.08785311208
0.0039999999999999975,239498.60853762348
0.004099999999999998,237530.34562014972
0.004199999999999998,235506.5340811813
0.004299999999999998,233444.26435557634
0.0043999999999999985,231362.23720874867
0.004499999999999999,229269.77484959486
0.004599999999999999,227165.6160875628
0.004699999999999999,225045.0486669553
0.0048,222915.27807084197
0.0049,220808.29929052145
0.005,218751.4465665411
0.0051,216742.1448650422
0.005200000000000001,214824.52657605562
0.005300000000000001,212976.63899054087
0.005400000000000001,211182.14567902597
0.005500000000000001,209460.81190741574
0.005600000000000002,207776.04874676425
0.005700000000000002,206075.66794148338
0.005800000000000002,204357.7155387652
0.0059000000000000025,202581.44190320672
0.006000000000000003,200722.80585036852
0.006100000000000003,198776.3151141251
0.006200000000000003,196749.45280338658
0.0063000000000000035,194653.82306982868
0.006400000000000004,192550.15290904904
0.006500000000000004,190440.97002246708
0.006600000000000004,188359.31576842512
0.0067000000000000046,186335.76918719406
0.006800000000000005,184392.5581195871
0.006900000000000005,182540.62115258462
0.007000000000000005,180782.25004737466
0.007100000000000006,179114.92856708393
0.007200000000000006,177529.91136063435
0.007300000000000006,176014.11247493635
0.007400000000000006,174551.03696593002
0.007500000000000007,173125.32210877872
0.007600000000000007,171724.19971022604
0.007700000000000007,170337.72637585303
0.0078000000000000074,168964.5532240242
0.007900000000000008,167608.09242364028
0.008000000000000007,166278.57304054685
0.008100000000000007,164987.85359740394
0.008200000000000006,163745.12557077812
0.008300000000000005,162558.17219668833
0.008400000000000005,161431.8897163269
0.008500000000000004,160366.51860814862
0.008600000000000003,159355.8161181383
0.008700000000000003,158385.13825452694
0.008800000000000002,157433.27707631994
0.008900000000000002,156476.63726276596
0.009000000000000001,155491.95652071832
0.0091,154460.5459861621
0.0092,153371.71375647237
0.0093,152221.83184142958
0.009399999999999999,151012.41606267952
0.009499999999999998,149749.99928766853
0.009599999999999997,148444.90850114258
0.009699999999999997,147111.53623211588
0.009799999999999996,145768.85412284778
0.009899999999999996,144437.72661415918
0.009999999999999995,143137.9759542005
0.010099999999999994,141885.1896095666
0.010199999999999994,140690.28636058644
0.010299999999999993,139561.93425149276
0.010399999999999993,138503.93888640744
0.010499999999999992,137514.4912330411
0.010599999999999991,136587.2821741842
0.01069999999999999,135713.70172412807
0.01079999999999999,134881.12026974402
0.01089999999999999,134073.99692657747
0.010999999999999989,133275.5267200189
0.011099999999999988,132472.09883224661
0.011199999999999988,131654.48035813466
0.011299999999999987,130818.32652604055
0.011399999999999987,129962.27245458594
0.011499999999999986,129088.44031101717
0.011599999999999985,128202.03932166676
0.011699999999999985,127311.27476379415
0.011799999999999984,126424.0163703793
0.011899999999999984,125547.02639268347
0.011999999999999983,124683.85640281733
0.012099999999999982,123835.82398370816
0.012199999999999982,123002.20061567909
0.012299999999999981,122181.20349017787
0.01239999999999998,121369.5616836672
0.01249999999999998,120562.24555324961
0.01259999999999998,119753.27861356642
0.012699999999999979,118937.90177926238
0.012799999999999978,118114.30883816729
0.012899999999999977,117283.09684383325
0.012999999999999977,116447.79813241638
0.013099999999999976,115614.79110228493
0.013199999999999976,114791.69895752112
0.013299999999999975,113987.90373934343
0.013399999999999974,113212.76204243673
0.013499999999999974,112473.83916356464
0.013599999999999973,111776.73463919343
0.013699999999999973,111124.00371112107
0.013799999999999972,110515.38972849773
0.013899999999999971,109948.33565796656
0.01399999999999997,109418.51971971238
0.01409999999999997,108920.3130964268
0.01419999999999997,108446.66972415129
0.014299999999999969,107988.73103695644
0.014399999999999968,107537.81176569294
0.014499999999999968,107088.63444893139
0.014599999999999967,106638.38132258052
0.014699999999999967,106186.59261050685
0.014799999999999966,105734.28964366452
0.014899999999999965,105284.32206869489
0.014999999999999965,104839.88609051949
0.015099999999999964,104403.13730130944
0.015199999999999964,103974.19372214601
0.015299999999999963,103552.19524081884
0.015399999999999962,103136.21583969932
0.015499999999999962,102726.19060246453
