"时间","Drag Monitor: Drag Monitor (N)"
1.0E-4,387563.83818134875
2.0E-4,431382.54376095167
3.0000000000000003E-4,413596.52659099066
4.0E-4,395566.5395930984
5.0E-4,385100.9476711775
6.000000000000001E-4,377340.6633596118
7.000000000000001E-4,368582.36355419445
8.000000000000001E-4,360545.935802456
9.000000000000002E-4,355494.31725798827
0.0010000000000000002,352448.1869573299
0.0011000000000000003,348330.0435200129
0.0012000000000000003,341266.54049551644
0.0013000000000000004,332111.27302051696
0.0014000000000000004,323062.9803599679
0.0015000000000000005,315767.23476114473
0.0016000000000000005,310639.72945702396
0.0017000000000000006,307185.7797636271
0.0018000000000000006,304543.40125732834
0.0019000000000000006,301879.1176084995
0.0020000000000000005,298633.1240879281
0.0021000000000000003,294629.3059858188
0.0022,290055.93105107127
0.0023,285304.5483787337
0.0024,280752.21247006545
0.0024999999999999996,276617.9935614292
0.0025999999999999994,272937.5940125244
0.0026999999999999993,269623.2638334307
0.002799999999999999,266545.28100271936
0.002899999999999999,263601.5508606558
0.0029999999999999988,260745.66596420496
0.0030999999999999986,257986.13121131615
0.0031999999999999984,255362.76208650577
0.0032999999999999982,252920.89367237932
0.003399999999999998,250681.4129281949
0.003499999999999998,248634.09184130694
0.0035999999999999977,246738.89783087763
0.0036999999999999976,244927.6509110839
0.0037999999999999974,243129.9134017767
0.0038999999999999972,241292.98159865642
0.0039999999999999975,239390.75773316892
0.004099999999999998,237421.4251201321
0.004199999999999998,235396.22955401288
0.004299999999999998,233332.2073366524
0.0043999999999999985,231248.2869692582
0.004499999999999999,229153.95591350377
0.004599999999999999,227048.10197457753
0.004699999999999999,224926.22255612613
0.0048,222795.64768793987
0.0049,220688.17463530262
0.005,218631.16540988858
0.0051,216622.02709778308
0.005200000000000001,214705.1179630046
0.005300000000000001,212858.14225151768
0.005400000000000001,211064.82076406418
0.005500000000000001,209344.89572893517
0.005600000000000002,207661.70999248847
0.005700000000000002,205962.9647738239
0.005800000000000002,204246.8915884144
0.0059000000000000025,202471.5783575133
0.006000000000000003,200613.73816613134
0.006100000000000003,198668.41016820556
0.006200000000000003,196642.8344951573
0.0063000000000000035,194548.17638968816
0.006400000000000004,192445.09800002392
0.006500000000000004,190336.99709551514
0.006600000000000004,188256.8678440473
0.0067000000000000046,186234.85912976455
0.006800000000000005,184293.82363916663
0.006900000000000005,182443.8434433234
0.007000000000000005,180688.24436614127
0.007100000000000006,179023.77862175455
0.007200000000000006,177441.6830109549
0.007300000000000006,175928.72143872397
0.007400000000000006,174468.70252757042
0.007500000000000007,173045.2490483652
0.007600000000000007,171645.4449679321
0.007700000000000007,170260.24029435025
0.0078000000000000074,168887.1759382297
0.007900000000000008,167531.03682158337
0.008000000000000007,166201.72448022253
0.008100000000000007,164910.39627871863
0.008200000000000006,163666.4030650887
0.008300000000000005,162477.6787084657
0.008400000000000005,161348.6169775457
0.008500000000000004,160279.89965060924
0.008600000000000003,159265.16507879633
0.008700000000000003,158290.30240655976
0.008800000000000002,157334.74926537753
0.008900000000000002,156375.49476215307
0.009000000000000001,155389.05590317812
0.0091,154356.94852443598
0.0092,153268.79461355694
0.0093,152120.4342043284
0.009399999999999999,150913.43755437343
0.009499999999999998,149653.8283758038
0.009599999999999997,148351.79915465976
0.009699999999999997,147021.69588527648
0.009799999999999996,145682.50943942103
0.009899999999999996,144354.86443915725
0.009999999999999995,143058.51318267372
0.010099999999999994,141808.88506627202
0.010199999999999994,140617.2051818016
0.010299999999999993,139491.80501303458
0.010399999999999993,138436.49093674406
0.010499999999999992,137449.85765402106
0.010599999999999991,136525.63865960273
0.01069999999999999,135655.1228037489
0.01079999999999999,134825.69005741994
0.01089999999999999,134021.64939912077
0.010999999999999989,133226.05889288528
0.011099999999999988,132425.35514342197
0.011199999999999988,131610.37893097018
0.011299999999999987,130776.30968293003
0.011399999999999987,129922.20834294986
0.011499999999999986,129050.37678530304
0.011599999999999985,128165.9081126717
0.011699999999999985,127276.79972219451
0.011799999999999984,126390.9890354631
0.011899999999999984,125515.21558622786
0.011999999999999983,124653.24118826145
0.012099999999999982,123806.34375507411
0.012199999999999982,122973.71816720295
0.012299999999999981,122153.40635831995
0.01239999999999998,121342.12325576437
0.01249999999999998,120534.8050933725
0.01259999999999998,119725.5546637344
0.012699999999999979,118909.66142216268
0.012799999999999978,118085.44785262481
0.012899999999999977,117253.75901832328
0.012999999999999977,116418.05304977579
0.013099999999999976,115584.7470526415
0.013199999999999976,114761.6595719498
