physical_time,window_id,Fz_S1L,Fz_S1R,Fz_S2L,Fz_S2R,Fz_S3L,Fz_S3R,Fz_Total,Drag_Total,Pitch_Moment,Roll_Moment,Jet_Reaction_Z,solver_status,JET_01,JET_02,JET_03,JET_04,JET_05,JET_06,JET_07,JET_08,JET_09,JET_10,JET_11,JET_12,JET_13,JET_14,JET_15,JET_16,JET_17,JET_18,JET_19,JET_20,JET_21,JET_22,JET_23,JET_24,cmd_massflow_01,cmd_massflow_02,cmd_massflow_03,cmd_massflow_04,cmd_massflow_05,cmd_massflow_06,cmd_massflow_07,cmd_massflow_08,cmd_massflow_09,cmd_massflow_10,cmd_massflow_11,cmd_massflow_12,cmd_massflow_13,cmd_massflow_14,cmd_massflow_15,cmd_massflow_16,cmd_massflow_17,cmd_massflow_18,cmd_massflow_19,cmd_massflow_20,cmd_massflow_21,cmd_massflow_22,cmd_massflow_23,cmd_massflow_24,case_stage
0.0001,0,212.5302008506029,-23.933531466064746,69.63412503335633,69.70284209585188,30.678380661146367,31.022928646539246,-23301.529346695024,387563.83818134875,-6362876.790858828,288.3260473282746,400.5646919919227,success,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b03_existing_star_ingest
0.0002,1,392.19724152065703,-2.2668070538260823,175.64569833146734,174.3015428482063,63.50017050499616,62.366593751655806,-35731.363608573956,431382.54376095167,-7112455.654134613,394.2391714380821,316.17502625689144,success,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b03_existing_star_ingest
0.00030000000000000003,2,515.1347978883225,0.9370878718799694,251.02905649306504,243.73809508145413,110.37496509532463,108.24154981567855,-41252.529295827786,413596.52659099066,-6858225.534582755,466.3090003988166,182.46493315165478,success,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b03_existing_star_ingest
0.0004,3,559.5837732385567,-22.69140739125905,268.0282145767679,256.65849656655996,177.1342240684896,172.85847223636551,-43234.30578042882,395566.5395930984,-6638040.108360867,533.6345621978079,127.00140797417662,success,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b03_existing_star_ingest
0.0005,4,560.4262449510937,-38.52122305815965,239.3662779658925,229.87899664305544,230.72266686010477,227.62022870228887,-44472.34960748589,385100.9476711775,-6564724.0394540345,582.1540890965761,118.75363611357518,success,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b03_existing_star_ingest
0.0006000000000000001,5,582.2675471345135,-7.769370813168172,185.31984234707068,179.73955212048642,224.89136955005975,227.17027167042258,-45431.907861719905,377340.6633596118,-6525601.979290031,619.0389257584691,123.65065471506256,success,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b03_existing_star_ingest
0.0007000000000000001,6,669.7515710676947,77.27931933924276,121.15648232390255,121.62200342035781,147.8598768757832,154.61804605215943,-46551.53440517435,368582.36355419445,-6435703.637997719,674.0184217616373,128.8367105899552,success,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b03_existing_star_ingest
0.0008000000000000001,7,844.5889692881724,211.78702883572024,61.39569454425104,66.43138259082893,2.015799347049586,12.097428434961573,-48472.13922144103,360545.935802456,-6331269.785300965,749.1418479212861,132.8880251633968,success,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b03_existing_star_ingest
0.0009000000000000002,8,1115.4085523503556,392.32964355913236,32.388395280037784,40.81680986219347,-186.23662010414947,-172.6796084287335,-51112.98901817782,355494.31725798827,-6272100.221842538,847.7937826047623,137.30217941497648,success,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b03_existing_star_ingest
0.0010000000000000002,9,1486.8402100508852,626.3884150628592,56.41326706355839,65.87919474951825,-389.02007097295404,-376.13962933402354,-53632.96489877577,352448.1869573299,-6247054.443480725,984.4639533194456,143.52590841972457,success,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b03_existing_star_ingest
