"时间","S1 Monitor: S1 Monitor (Pa)","S2 Monitor: S2 Monitor (Pa)","S3 Monitor: S3 Monitor (Pa)","入口 Monitor: 入口 Monitor (Pa)","出口 Monitor: 出口 Monitor (Pa)","右中 Monitor: 右中 Monitor (Pa)","右前 Monitor: 右前 Monitor (Pa)","右后 Monitor: 右后 Monitor (Pa)","左中 Monitor: 左中 Monitor (Pa)","左前 Monitor: 左前 Monitor (Pa)","左后 Monitor: 左后 Monitor (Pa)"
1.0E-4,-0.21779946594473237,-0.14693428552670126,-0.015140522087433097,0.6412841275846779,-0.2561773741285411,-0.606621609402691,1.9116461273659868,-394.91049757115303,-1.1701862780912877,1.4901898964812659,-378.41024853813843
2.0E-4,-0.3582192294324996,-0.2919005640669906,-0.028471002310932234,0.6583651809254057,-0.4586442256186845,-1.0863044680248286,2.3969977176427752,-1311.2086861829277,-2.021249355055441,3.0943568687696494,-1286.0314166759397
3.0000000000000003E-4,-0.36684280304606887,-0.31955142010581944,-0.030795692785394447,0.5040380520716841,-0.610027332483739,-1.1632016929747473,3.7122996270235857,-3205.2407898429346,-2.1801416022579256,4.6138609529390315,-3177.238771052502
4.0E-4,-0.32506861860679487,-0.30526555690476814,-0.024809131140365072,0.38059850273833185,-0.7196492392975757,-1.060925778830909,5.745579619635384,-5830.54805914062,-1.9976569228314012,4.828406449880385,-5839.932980188074
5.0E-4,-0.29469251392952106,-0.28975385509416124,-0.017541230941072572,0.3394123711904221,-0.8057461353915261,-0.9257988538146232,1.6518832859838906,-8140.288463173497,-1.7455522334241163,0.6136377506282944,-8229.766770711452
6.000000000000001E-4,-0.2851258114788804,-0.2833604522321242,-0.00983039692121028,0.33393610576057525,-0.8616017297781303,-0.8067409269024447,-11.615585699467788,-8810.430249823423,-1.52277492050378,-11.954381244932177,-9036.939364220667
7.000000000000001E-4,-0.29398450331505094,-0.2732688011684545,-6.16889708664743E-4,0.33077379204188945,-0.8900665779428395,-0.7089408697549909,-35.439264554696344,-7334.428131182535,-1.351576189429838,-35.389886790497215,-7621.216271075863
8.000000000000001E-4,-0.2985131829906181,-0.26233563050897124,0.009357405448637585,0.3076573029471814,-0.9005140215587991,-0.6599166902309961,-66.77119634073212,-4471.651049671667,-1.226434557484523,-67.69309174108383,-4742.230108368405
9.000000000000002E-4,-0.30487339532799596,-0.27247171750166294,0.01592290300245608,0.3516996264087953,-0.8894753511450003,-0.7315945186536366,-97.99175399109272,-1549.3259491426452,-1.2033329003224085,-102.26049826554973,-1776.211305844472
0.0010000000000000002,-0.29392632778349415,-0.2817280615270125,0.019238118181609285,0.3867110887802993,-0.8779704555051859,-0.8743905393419702,-116.94624753659818,-26.12843430548796,-1.2638682538636525,-127.01458203107323,-41.3640997523238
0.0011000000000000003,-0.2637692676435413,-0.26063492707143954,0.02016282670335734,0.37397355196643384,-0.8728658757536338,-1.1241619452407603,-107.35912015286956,-200.87616952829725,-1.4363852518980453,-121.23061780476708,12.77471155376179
0.0012000000000000003,-0.246575796432445,-0.252283810892902,0.017994512853075167,0.3892114696360101,-0.8778667089864691,-1.8761215036772934,-26.261953583831687,-1288.4772107653785,-2.0397105035428233,-45.397404619352486,-924.6161579745874
0.0013000000000000004,-0.23958900140856018,-0.25748663468813343,0.015855791743964627,0.428377178026103,-0.8988573570351005,-3.947505009298386,184.876702189545,-2417.4239912114017,-4.0214939417616105,162.07499363080265,-1991.0193300915175
0.0014000000000000004,-0.2415560972054601,-0.25810868849466806,0.015959505561868523,0.47250960498111877,-0.9334013191120875,-9.987947196348417,591.0053688920634,-2858.5534286764996,-9.932380389630943,565.5298463211606,-2530.732676457544
0.0015000000000000005,-0.2493150200990485,-0.24310222120004113,0.019318076265882916,0.4990406106283933,-0.9751052968288714,-25.589447298448725,1244.1229214873106,-2382.175477546379,-25.331815613729578,1217.113028159666,-2267.8254539546515
0.0016000000000000005,-0.26836714035849984,-0.21663445430622852,0.024814472225001973,0.5014483172420169,-1.0150696237406982,-61.55027161654165,2175.499586880654,-1249.814733280615,-61.199917010811056,2147.766479935452,-1351.9994826777101
0.0017000000000000006,-0.311309394868591,-0.18753469138386483,0.02921703709798295,0.48815492628645807,-1.0445577647741366,-134.9557496895205,3380.886888280031,59.20926168114932,-135.0532673450352,3351.6998937404933,-197.30146793028078
0.0018000000000000006,-0.4009297642519267,-0.18404027256743913,0.029023664314856285,0.47525162808842675,-1.058607725088028,-267.2733041037674,4806.3638526126815,1068.0308932853109,-268.45419731238866,4772.772873669387,744.2693873522014
0.0019000000000000006,-0.5441945666808385,-0.18825487232731916,0.023204670880355042,0.4819960811220891,-1.0580064130159372,-480.2825848602602,6349.135240561112,1468.9367053642313,-482.2223968198672,6319.570764037971,1171.1922209207514
0.0020000000000000005,-0.7366993091245512,-0.19936154735262804,0.012127885635340476,0.503702449790327,-1.0402662435908367,-788.2374975333513,7913.776818873877,1216.0473194795866,-791.1748356714197,7893.711820389997,1008.2721991380495
0.0021000000000000003,-0.9061864299416069,-0.21886839067931219,-0.002161521409687335,0.5459587784517871,-1.0156972001546964,-1188.402915109675,9392.065928484306,460.5076731388239,-1192.5686973821616,9380.409343009143,380.74066710861393
0.0022,-0.8969277125019611,-0.26228327351081365,-0.015534979638533857,0.6417136396029344,-0.9869059106170057,-1656.8937175639232,10686.310405106284,-565.234713276421,-1660.5551999722434,10673.750844072989,-510.8646786294515
0.0023,-0.40857221767050705,-0.3269012373096397,-0.029927309047080346,0.8808935115469653,-0.9608686651918713,-2141.534706581646,11710.528480565079,-1592.549922376759,-2142.489315970503,11706.481864801379,-1442.518723941443
0.0024,0.9789190382951855,-0.40363368684220746,-0.04567995468951687,1.4454092390801503,-0.9435821265425687,-2567.9935826620517,12445.074141154944,-2410.0584769883585,-2567.2691551762964,12457.283030447994,-2219.758905524263
0.0024999999999999996,3.547351382099598,-0.493230225861298,-0.06059348768159796,2.795003203732084,-0.9456379000225691,-2870.1745065619402,12909.35811023639,-2919.2396399168774,-2874.6559377392414,12934.814226375089,-2742.319323748236
0.0025999999999999994,6.991700027617348,-0.6642454856999799,-0.07953713064824015,6.18662525302779,-0.9732561690305853,-3016.3054925841434,13139.472234849556,-3129.925639438101,-3026.061363677294,13170.438952954142,-2999.6896362828584
0.0026999999999999993,9.903908367400748,-1.3464338852879978,-0.11241189942325525,14.168394440336842,-1.04146880493649,-3003.5425016937065,13169.648006579664,-3109.6220153824524,-3014.4413551562075,13200.29593109739,-3054.3809908595535
0.002799999999999999,9.258165367204482,-3.192478658011611,-0.17095977538826762,31.616171677281923,-1.2065939510532606,-2861.1880076623825,13046.130882339165,-2974.7083690364507,-2869.063085940567,13070.887629768324,-2999.826879515209
0.002899999999999999,-3.5024459804936714,-8.217822613583982,-0.26152799264622495,67.22804691265998,-1.6077021434362915,-2635.537270087767,12828.65450013937,-2842.148704863271,-2638.693753471465,12840.502802854538,-2934.799093810644
0.0029999999999999988,-42.7497897567206,-20.440393809251148,-0.3948350820314109,135.54078136651717,-2.4981185082765704,-2383.779674659308,12575.089825591274,-2796.9926658100626,-2384.005153803274,12574.122307277383,-2927.8970112102547
0.0030999999999999986,-129.23648455221254,-46.382272244192976,-0.5863629954305697,258.0282363575449,-4.5045787213198105,-2148.821954373248,12339.528137049883,-2867.392923202802,-2146.068713944126,12336.403453785062,-3003.775373032329
0.0031999999999999984,-288.8121863759087,-96.10544099329739,-0.8854462863943591,463.657133038374,-8.751247420487106,-1940.116446330345,12172.20327554177,-3032.3441224428816,-1934.0568411528357,12167.082328325683,-3149.5855334107
0.0032999999999999982,-547.772613022267,-183.141385574462,-1.4093791755265315,788.0990313718357,-17.443306768691087,-1747.2561637316887,12092.401381983998,-3249.1850298718773,-1739.2225367784956,12079.005863932167,-3334.386735121367
0.003399999999999998,-925.1786454644242,-324.1502024495283,-2.445685894731894,1270.0542366882462,-34.50715780148747,-1555.9659465563827,12073.418778282034,-3473.986741595381,-1545.210481541431,12054.373724127086,-3523.283773939433
0.003499999999999998,-1430.3252674968842,-537.0732955622454,-4.6206621498082425,1944.6762062915689,-66.13193191310164,-1353.9456195767682,12078.425342742066,-3678.5977482979524,-1342.2033085966161,12057.571627200361,-3695.4770821823604
0.0035999999999999977,-2052.9633061216487,-836.7309907642892,-9.227425944771094,2836.844213187611,-121.4605286059102,-1139.9630283837319,12070.468139652461,-3852.5773168687006,-1130.299956404924,12053.085107305862,-3842.7829062550704
0.0036999999999999976,-2762.255854542838,-1230.5586616688236,-18.63803257362827,3948.537320435007,-212.72694127318158,-925.256388914323,12019.551531030716,-3995.8381560145094,-919.7377611216377,12010.56108607171,-3970.938158560297
0.0037999999999999974,-3504.1269633397796,-1714.5579394389124,-36.79664883070399,5252.589322846303,-354.73972980137114,-724.7424800936293,11908.53095376975,-4107.038612242755,-721.9970750564331,11909.589294849247,-4080.5391489721587
0.0038999999999999972,-4213.0790048156005,-2267.5593616894257,-69.76895330373337,6696.593952077837,-564.1013326458442,-546.7774108346777,11735.348353591657,-4171.246940686082,-543.5913128062813,11744.5196274076,-4153.204277939837
0.0039999999999999975,-4824.803058034803,-2851.6704859784963,-126.1342984262836,8205.154713557075,-855.3757523210975,-385.44890063242184,11511.78473898567,-4155.877158655866,-379.69149379800257,11526.767988851905,-4155.968176259193
0.004099999999999998,-5287.867256497791,-3412.733648838977,-216.90787600952825,9695.52990420163,-1238.5921524338812,-222.1891466787252,11258.410433740337,-4021.847774912845,-213.8794612764106,11276.694300676469,-4045.223508928098
0.004199999999999998,-5564.257812748026,-3887.543952550919,-354.6246251219864,11097.985779712351,-1715.4590427570968,-34.4245544629385,11003.896222652038,-3730.198831692596,-24.838928037316265,11021.488375736297,-3774.5508163236946
0.004299999999999998,-5640.607927825502,-4220.822400121057,-551.9069635641616,12375.487991946835,-2275.4921317813023,192.27167071842115,10770.64821485191,-3252.921597161389,201.06490573205772,10783.963800241807,-3311.0738677181635
0.0043999999999999985,-5518.139941238048,-4367.341280661348,-818.9060647657732,13523.829869169818,-2893.6436905285423,456.6077487098458,10572.154986829453,-2567.6594162603647,463.6394569301667,10579.770666125358,-2635.551660497622
0.004499999999999999,-5203.169630664881,-4296.905098766748,-1159.4440631031614,14562.71970114019,-3530.873256627263,740.803500009416,10411.3983642783,-1682.1914560194245,747.1948151067438,10412.526940810576,-1757.1954881804647
0.004599999999999999,-4743.939797828982,-4010.0438211593305,-1568.162264223267,15528.091480886013,-4145.969275995824,1013.5856225229202,10284.226135458093,-651.8997666980066,1022.4487804412021,10278.608552979566,-733.9782312086065
0.004699999999999999,-4198.158375263243,-3535.881466485027,-2026.5907529466378,16458.41416110482,-4691.75152135241,1240.292166272811,10180.760899486311,430.4089789917673,1254.543926110584,10169.116712058118,350.0837650032012
0.0048,-3633.272388612298,-2934.327646878775,-2501.021465212847,17376.69657810483,-5124.386121023622,1393.648031304061,10088.626030256175,1457.2072088776843,1412.493946541658,10073.26066828686,1387.5594702863445
0.0049,-3120.5950442432386,-2302.608948654547,-2945.889572006565,18262.595763153473,-5419.398953040012,1456.3024624656712,10000.727645438035,2296.1786937983497,1478.0466960646654,9984.165685426342,2233.417171852567
0.005,-2704.413545696731,-1725.750655631617,-3302.750609195005,19067.249803231207,-5588.949775067238,1431.0815068773459,9914.515355311021,2857.9647981608655,1453.0884985971156,9899.437351484821,2802.4631339010266
0.0051,-2408.7863960785257,-1250.1204697202445,-3522.048761374741,19746.12404232246,-5679.804244045589,1333.4017281524866,9831.354065891373,3134.29110585386,1351.3526547037238,9819.6019253816,3096.6106628944212
0.005200000000000001,-2241.728286393376,-933.1427635589815,-3553.365716825155,20199.67152691061,-5751.420458109235,1183.3396402317983,9754.7453505707,3115.8756491113268,1194.5995066029598,9747.333068762682,3105.427180195105
0.005300000000000001,-2192.8990733226005,-771.2676992783918,-3367.775274237524,20391.07008533447,-5875.913975565539,997.6326697623812,9685.11543565284,2860.065760276217,1001.0613375486316,9682.87992422124,2867.4420903631058
0.005400000000000001,-2244.4640536951524,-754.8731695491902,-2952.4118325954073,20319.812107708796,-6143.818791065917,787.7111234767412,9624.445836698751,2432.754828783209,786.5375673929254,9626.819800793815,2445.3449914550533
0.005500000000000001,-2357.963384673705,-847.297822343688,-2318.165985638151,19989.945324334258,-6614.5978617823275,585.200403139194,9571.447104858185,1962.7783764524283,581.2382036171543,9576.889759876802,1975.754993839514
0.005600000000000002,-2496.8062558957677,-1015.7744323502814,-1505.5899224434002,19447.920132485706,-7311.759889311064,415.6372247779106,9518.880379057748,1503.0281859808517,414.5958300967625,9525.281002616362,1505.7658871479491
0.005700000000000002,-2623.203226378524,-1234.1085024155893,-562.3341119568277,18735.409268350217,-8231.245258672694,308.51783113999704,9457.960356057301,1074.1004021410433,317.1855760596299,9462.618110903415,1062.830184427246
0.005800000000000002,-2704.168278899216,-1456.0171062564248,421.3628563789049,17921.77728358568,-9255.449150535524,298.7325199276789,9378.815423058395,707.096255520541,320.99836518018657,9380.31128547574,683.5950263497203
0.0059000000000000025,-2731.2484828671936,-1665.5350614069764,1382.998503242308,17070.749281684035,-10322.470906427314,404.2642977707344,9276.84830895476,383.81009517337156,439.40480562648827,9274.166023230553,351.4259312446666
0.006000000000000003,-2707.4330266357388,-1843.9837964700573,2269.290331218047,16225.998902464788,-11345.21960457085,640.7189477993853,9151.89155802993,89.34962981141759,688.0562695610708,9144.96645981901,55.03927759673636
0.006100000000000003,-2646.649072015342,-1970.5857483227328,3042.641175443156,15421.031353460987,-12235.856766329283,1013.159233724645,9007.024628528185,-186.00296329410227,1072.3942930735639,8996.348209022115,-215.93427685008334
0.006200000000000003,-2571.231099989682,-2029.9121482976677,3687.178689641887,14675.967095715549,-12924.396850065054,1520.118627353113,8849.026559550604,-447.11278149129527,1586.2758330205313,8835.060519330878,-465.72400824735274
0.0063000000000000035,-2503.390380134644,-2005.8822956325942,4210.389162132467,13980.25390009441,-13384.107866119939,2157.3618677668887,8685.706279733082,-692.6116205329779,2213.782149168492,8670.160780448516,-695.0671127232564
0.006400000000000004,-2454.767554209508,-1884.43649439203,4629.669134972645,13346.308588327827,-13605.790815291544,2866.4489841456093,8531.425459440628,-900.941466870338,2907.3638665648864,8516.590952800856,-887.1666800277852
0.006500000000000004,-2431.565843223783,-1663.8211290399765,4989.825091101201,12752.234191613403,-13630.558788180888,3620.7461939638533,8392.242929313366,-1068.3070898166604,3630.1264118762397,8378.560744911394,-1042.0785795533359
0.006600000000000004,-2421.5844912784155,-1358.4105812719315,5311.908262568385,12184.85997882686,-13497.841054526636,4352.265074316806,8280.150948310824,-1187.1274232019362,4327.2602212172815,8267.891193852956,-1155.7498839449966
0.0067000000000000046,-2406.9693430022203,-995.9785953331881,5619.828236938587,11634.00423921829,-13251.266511930477,5005.5923649331635,8204.83359193769,-1255.4928482828298,4941.673762033283,8194.65656147004,-1228.0643340714214
0.006800000000000005,-2364.98134670576,-618.0087010410219,5948.566260892526,11092.262601725643,-12908.55744732213,5518.575700834405,8175.34258536659,-1280.487248873717,5450.957226058257,8167.700318179628,-1263.870112509681
0.006900000000000005,-2273.14051647858,-265.92452466947094,6255.744860487524,10553.253500343018,-12460.616450979267,5902.2805196579,8201.277086842254,-1278.762561966051,5838.208094769725,8196.825536566188,-1275.017466354436
0.007000000000000005,-2111.6829102243314,29.57152729474186,6497.447223785736,10012.009150707107,-11908.541475201153,6162.421571284321,8293.96184856323,-1270.1000143362426,6092.982444077141,8292.066649046103,-1277.157861537245
0.007100000000000006,-1868.0568925193695,246.4766258165433,6660.633223441026,9466.349287652298,-11242.632161101328,6289.737123039751,8468.518033201048,-1267.2066159725812,6217.23011889532,8466.904969893532,-1282.454876323582
0.007200000000000006,-1542.6715730851338,381.0333930500538,6746.877978092198,8916.921673858322,-10465.248932405137,6303.461723703556,8738.194876231883,-1276.9176793872828,6232.218398263248,8735.126585729204,-1297.8254118491484
0.007300000000000006,-1146.1290482882075,450.7466667268745,6765.770720940472,8366.038058049835,-9582.993265771911,6231.253519956115,9120.087960052944,-1303.1427976160114,6162.829475824935,9114.473239792927,-1325.663471351629
0.007400000000000006,-702.2130747834569,482.0726831826164,6747.145659427599,7818.099927865643,-8616.884721042743,6098.806122983576,9627.573950139633,-1344.9865707842837,6028.5123810735895,9618.94097058901,-1365.338085367088
0.007500000000000007,-230.72251663707547,508.2011737218418,6731.55605262482,7280.318790810839,-7606.257742117018,5921.026655055243,10268.20324203725,-1396.7202094424217,5849.886765849048,10256.285978047674,-1413.3735506603996
0.007600000000000007,242.1744533706926,569.8789360085598,6750.348759135308,6757.547998786415,-6614.419361443727,5717.736066827695,11041.99559626821,-1451.1805885127771,5648.3738692932475,11027.53334318409,-1465.3215830787406
0.007700000000000007,693.3367575914336,702.4541443131393,6818.088756943158,6257.1619158887725,-5715.5036700419705,5504.654331377363,11936.807071663265,-1505.3411275147012,5440.307570597718,11920.23144536905,-1518.6289048113608
0.0078000000000000074,1110.344212608144,930.6551044080833,6937.836006293493,5785.165831453388,-4968.713915980755,5298.241310603717,12922.972527027227,-1559.5162338013754,5241.413546486645,12905.13651365666,-1573.2998354003475
0.007900000000000008,1486.5732084993906,1262.6794012669523,7101.378479604941,5346.007963038387,-4423.924647097978,5103.486887081837,13956.645791500127,-1617.3701565107756,5056.0504582317335,13936.202658446135,-1633.7035631625206
0.008000000000000007,1820.3298267565335,1697.7648146072333,7284.668160266403,4940.458164884871,-4105.337394528724,4926.2398166809635,14977.72823508795,-1687.6016094902598,4887.7700468551575,14953.198510811793,-1708.645161430212
0.008100000000000007,2117.6487194741367,2221.379915072219,7455.2832092920125,4567.209444562933,-4007.4173094000726,4762.414687931499,15918.216473222004,-1781.2259004692132,4729.909654533502,15888.100168045667,-1808.5265775672822
0.008200000000000006,2387.449939295548,2806.5084322073094,7580.502655832034,4222.3744502072395,-4111.684508296361,4600.583868754892,16715.776334520506,-1908.5052498053287,4574.005014497118,16679.040454486047,-1942.2935701097217
0.008300000000000005,2642.2620305040473,3423.9136443856446,7635.010285958974,3901.2028780385845,-4360.140820816044,4433.800237029026,17323.160041738956,-2076.1713343655247,4411.679839971411,17280.648637790186,-2115.217169999323
0.008400000000000005,2887.8239071146836,4044.1906283859566,7602.261970194083,3597.6653669563343,-4692.612708273106,4250.745615492419,17714.078291318594,-2286.958960546323,4230.729084532874,17665.566852195712,-2328.2495270459
0.008500000000000004,3124.916923208971,4633.166538614272,7481.817117414198,3309.3109182791377,-5061.729572538656,4039.9601050682727,17888.192915478445,-2537.4433530704773,4017.2469916302703,17832.94018193153,-2576.375751453594
0.008600000000000003,3351.521669007694,5160.9124361077875,7278.20089717386,3034.7874469714375,-5429.468221064726,3796.2564790338006,17866.75053094914,-2816.4539205376063,3766.1265545891106,17809.552837489642,-2848.6180423039527
0.008700000000000003,3561.230313596975,5600.5033409216485,7002.339978436498,2773.889952968244,-5776.974408649076,3520.6575464721845,17687.459160089315,-3104.609804054458,3478.954749314259,17634.950877393923,-3128.6048728682963
0.008800000000000002,3744.1242905369495,5930.908946037538,6671.379809407116,2526.8285273987563,-6101.758809432909,3216.400368996367,17402.550164133812,-3380.8500461335766,3162.11999343285,17359.66225360222,-3397.0386722096064
