physical_time,window_id,t_start,t_end,active_jets,total_mass_flow
0.0,0,0.0,0.1,0,0.0
0.1,1,0.1,0.2,1,0.02
0.2,2,0.2,0.3,1,0.02
0.3,3,0.3,0.4,1,0.02
0.4,4,0.4,0.5,1,0.02
0.5,5,0.5,0.6,1,0.02
0.6,6,0.6,0.7,1,0.02
0.7,7,0.7,0.8,1,0.02
0.8,8,0.8,0.9,0,0.0
0.9,9,0.9,1.0,0,0.0
